host_time_utc,host_elapsed_s,sequence,timestamp_us,raw_x,raw_y,raw_z,median_x,median_y,median_z,calibrated_x_g,calibrated_y_g,calibrated_z_g,filtered_x_g,filtered_y_g,filtered_z_g,filtered_x_ms2,filtered_y_ms2,filtered_z_ms2,flags
2026-08-09T20:53:57.699+00:00,0.005218,335200,711525623,-153,334,8123,,,,,,,,,,,,,0x00000007
2026-08-09T20:53:58.487+00:00,0.793227,335250,711631740,-146,348,8110,,,,,,,,,,,,,0x00000007
2026-08-09T20:53:58.491+00:00,0.796842,335300,711737856,-141,350,8150,,,,,,,,,,-0.203,0.398,9.840,0x00000007
2026-08-09T20:53:58.493+00:00,0.798744,335350,711843972,-146,344,8128,,,,,,,,,,-0.204,0.401,9.822,0x00000007
2026-08-09T20:53:58.495+00:00,0.800699,335400,711950089,-146,344,8124,,,,,,,,,,-0.212,0.395,9.801,0x00000007
2026-08-09T20:53:58.497+00:00,0.802694,335450,712056205,-163,365,8144,,,,,,,,,,-0.205,0.397,9.833,0x00000007
2026-08-09T20:53:58.499+00:00,0.804600,335500,712162321,-134,338,8129,,,,,,,,,,-0.195,0.404,9.830,0x00000007
2026-08-09T20:53:58.501+00:00,0.806413,335550,712268438,-148,345,8128,,,,,,,,,,-0.208,0.397,9.819,0x00000007
2026-08-09T20:53:58.545+00:00,0.851228,335600,712374554,-119,335,8127,,,,,,,,,,-0.193,0.398,9.829,0x00000007
2026-08-09T20:53:58.651+00:00,0.957078,335650,712480670,-134,328,8123,,,,,,,,,,-0.203,0.399,9.809,0x00000007
2026-08-09T20:53:58.757+00:00,1.062693,335700,712586787,-151,329,8138,,,,,,,,,,-0.207,0.396,9.834,0x00000007
2026-08-09T20:53:58.863+00:00,1.168907,335750,712692903,-141,366,8128,,,,,,,,,,-0.203,0.411,9.831,0x00000007
2026-08-09T20:53:58.969+00:00,1.275096,335800,712799019,-155,347,8127,,,,,,,,,,-0.205,0.398,9.815,0x00000007
2026-08-09T20:53:59.075+00:00,1.381055,335850,712905136,-173,346,8106,,,,,,,,,,-0.210,0.392,9.815,0x00000007
2026-08-09T20:53:59.181+00:00,1.486984,335900,713011252,-136,344,8138,,,,,,,,,,-0.203,0.400,9.807,0x00000007
2026-08-09T20:53:59.288+00:00,1.593747,335950,713117368,-146,338,8134,,,,,,,,,,-0.207,0.403,9.828,0x00000007
2026-08-09T20:53:59.394+00:00,1.699445,336000,713223485,-162,332,8131,,,,,,,,,,-0.190,0.409,9.814,0x00000007
2026-08-09T20:53:59.499+00:00,1.805329,336050,713329601,-141,342,8153,,,,,,,,,,-0.196,0.384,9.835,0x00000007
2026-08-09T20:53:59.606+00:00,1.911495,336100,713435718,-154,338,8140,,,,,,,,,,-0.210,0.392,9.830,0x00000007
2026-08-09T20:53:59.712+00:00,2.017758,336150,713541834,-155,357,8140,,,,,,,,,,-0.214,0.387,9.829,0x00000007
2026-08-09T20:53:59.818+00:00,2.123872,336200,713647950,-151,356,8129,,,,,,,,,,-0.205,0.402,9.820,0x00000007
2026-08-09T20:53:59.924+00:00,2.229997,336250,713754066,-151,356,8151,,,,,,,,,,-0.210,0.399,9.821,0x00000007
2026-08-09T20:54:00.030+00:00,2.336086,336300,713860183,-136,334,8133,,,,,,,,,,-0.205,0.391,9.824,0x00000007
2026-08-09T20:54:00.136+00:00,2.442328,336350,713966299,-144,341,8134,,,,,,,,,,-0.200,0.392,9.809,0x00000007
2026-08-09T20:54:00.242+00:00,2.548228,336400,714072415,-144,339,8132,,,,,,,,,,-0.203,0.402,9.832,0x00000007
2026-08-09T20:54:00.348+00:00,2.654234,336450,714178532,-143,329,8144,,,,,,,,,,-0.213,0.396,9.841,0x00000007
2026-08-09T20:54:00.455+00:00,2.760475,336500,714284648,-147,337,8135,,,,,,,,,,-0.213,0.397,9.814,0x00000007
2026-08-09T20:54:00.561+00:00,2.866498,336550,714390765,-146,344,8136,,,,,,,,,,-0.210,0.397,9.822,0x00000007
2026-08-09T20:54:00.666+00:00,2.972188,336600,714496881,-137,342,8134,,,,,,,,,,-0.209,0.404,9.823,0x00000007
2026-08-09T20:54:00.773+00:00,3.078759,336650,714602997,-155,334,8130,,,,,,,,,,-0.211,0.398,9.826,0x00000007
2026-08-09T20:54:00.878+00:00,3.184221,336700,714709114,-160,356,8126,,,,,,,,,,-0.215,0.400,9.822,0x00000007
2026-08-09T20:54:00.985+00:00,3.290797,336750,714815230,-164,352,8123,,,,,,,,,,-0.219,0.406,9.826,0x00000007
2026-08-09T20:54:01.091+00:00,3.397031,336800,714921346,-152,334,8136,,,,,,,,,,-0.204,0.398,9.823,0x00000007
