block,index,ax_raw,ay_raw,az_raw
1,0,8190,-160,-605
1,1,8190,-155,-601
1,2,8204,-167,-585
1,3,8193,-163,-597
1,4,8194,-151,-590
1,5,8194,-156,-597
1,6,8188,-161,-583
1,7,8183,-157,-588
1,8,8186,-146,-587
1,9,8188,-154,-609
1,10,8183,-143,-620
1,11,8188,-142,-602
1,12,8186,-145,-609
1,13,8195,-163,-604
1,14,8191,-158,-620
1,15,8197,-150,-620
1,16,8197,-142,-624
1,17,8193,-152,-606
1,18,8185,-143,-601
1,19,8177,-153,-622
1,20,8177,-169,-612
1,21,8171,-155,-607
1,22,8176,-155,-619
1,23,8173,-152,-619
1,24,8173,-148,-608
1,25,8177,-152,-608
1,26,8172,-154,-606
1,27,8170,-145,-594
1,28,8171,-155,-584
1,29,8172,-163,-587
1,30,8171,-167,-590
1,31,8176,-156,-587
1,32,8182,-168,-595
1,33,8181,-157,-597
1,34,8180,-158,-600
1,35,8172,-171,-604
1,36,8170,-157,-604
1,37,8166,-144,-615
1,38,8182,-149,-607
1,39,8192,-160,-609
1,40,8184,-168,-598
1,41,8186,-173,-599
1,42,8178,-176,-579
1,43,8189,-168,-583
1,44,8199,-157,-593
1,45,8195,-159,-604
1,46,8192,-159,-601
1,47,8195,-149,-596
1,48,8186,-149,-587
1,49,8174,-156,-607
1,50,8178,-154,-612
1,51,8177,-154,-610
1,52,8186,-156,-600
1,53,8188,-162,-605
1,54,8182,-161,-600
1,55,8192,-171,-604
1,56,8194,-166,-609
1,57,8197,-176,-623
1,58,8199,-178,-623
1,59,8198,-157,-618
1,60,8195,-155,-620
1,61,8183,-156,-624
1,62,8184,-153,-614
1,63,8191,-154,-625
1,64,8186,-158,-609
1,65,8178,-155,-606
1,66,8167,-148,-606
1,67,8179,-138,-601
1,68,8182,-147,-613
1,69,8197,-163,-594
1,70,8198,-170,-591
1,71,8191,-168,-596
1,72,8192,-163,-598
1,73,8184,-155,-600
1,74,8176,-143,-602
1,75,8178,-134,-590
1,76,8175,-153,-573
1,77,8178,-165,-554
1,78,8179,-166,-568
1,79,8188,-170,-583
1,80,8190,-157,-595
1,81,8190,-148,-607
1,82,8180,-150,-608
1,83,8171,-165,-601
1,84,8163,-152,-603
1,85,8178,-152,-611
1,86,8173,-160,-609
1,87,8196,-149,-605
1,88,8183,-141,-608
1,89,8184,-141,-606
1,90,8195,-147,-601
1,91,8197,-139,-606
1,92,8181,-152,-598
1,93,8181,-158,-596
1,94,8195,-157,-594
1,95,8185,-157,-611
1,96,8174,-150,-604
1,97,8163,-151,-610
1,98,8179,-155,-631
1,99,8179,-154,-621
1,100,8180,-147,-613
1,101,8181,-144,-618
1,102,8179,-136,-611
1,103,8184,-154,-597
1,104,8191,-159,-608
1,105,8193,-166,-617
1,106,8193,-171,-604
1,107,8190,-165,-596
1,108,8182,-161,-600
1,109,8191,-163,-587
1,110,8192,-166,-594
1,111,8188,-162,-593
1,112,8182,-164,-602
1,113,8181,-150,-620
1,114,8176,-158,-617
1,115,8185,-169,-618
1,116,8192,-172,-612
1,117,8192,-175,-592
1,118,8197,-158,-586
1,119,8192,-151,-581
1,120,8186,-137,-586
1,121,8192,-135,-600
1,122,8188,-148,-597
1,123,8194,-148,-619
1,124,8193,-154,-609
1,125,8186,-159,-608
1,126,8186,-168,-603
1,127,8182,-167,-606
1,128,8186,-160,-607
1,129,8186,-152,-607
1,130,8185,-162,-600
1,131,8192,-161,-600
1,132,8193,-166,-600
1,133,8186,-168,-600
1,134,8194,-158,-608
1,135,8194,-143,-615
1,136,8196,-160,-624
1,137,8183,-163,-634
1,138,8193,-166,-627
1,139,8185,-167,-624
1,140,8184,-155,-621
